Num	Promoter
1	114
2	147
3	8015
4	8192
5	10564
6	12049
7	12122
8	16953
9	17228
10	17311
11	21008
12	21118
13	21207
14	21384
15	21835
16	28288
17	28344
18	29552
19	34027
20	49789
21	52587
22	57252
23	57327
24	63449
25	65802
26	70222
27	77338
28	77368
29	83735
30	85600
31	89363
32	89590
33	102873
34	104694
35	106503
36	106956
37	107669
38	112687
39	113301
40	113395
41	118678
42	118702
43	121676
44	122035
45	122970
46	127718
47	131520
48	134340
49	136506
50	136939
51	137046
52	141262
53	141361
54	142702
55	146723
56	149629
57	159171
58	159389
59	161376
60	162001
61	162052
62	167427
63	169125
64	174934
65	174990
66	179180
67	179199
68	180670
69	181047
70	182448
71	183915
72	184192
73	185975
74	186144
75	189625
76	189641
77	189713
78	208277
79	209659
80	212307
81	214196
82	214197
83	214270
84	214622
85	218836
86	220072
87	222713
88	222807
89	223486
90	223595
91	229135
92	230983
93	231073
94	233981
95	234461
96	234786
97	234955
98	235938
99	236005
100	236022
101	236910
102	240215
103	240320
104	243345
105	243513
106	245883
107	246532
108	250504
109	251974
110	255807
111	255919
112	256503
113	257811
114	259374
115	259462
116	262061
117	262303
118	274512
119	280042
120	289564
121	294844
122	296287
123	302182
124	312027
125	312033
126	312509
127	312599
128	316587
129	319256
130	319359
131	320709
132	328584
133	328646
134	331271
135	342042
136	344477
137	345657
138	347692
139	354109
140	361408
141	362424
142	367759
143	375689
144	379142
145	380057
146	388977
147	392449
148	392606
149	395567
150	395655
151	398607
152	398669
153	400216
154	400544
155	400954
156	402456
157	404909
158	404966
159	405503
160	406179
161	406504
162	407799
163	409273
164	409278
165	411732
166	411807
167	415428
168	416199
169	416326
170	418644
171	419921
172	421711
173	424210
174	424351
175	425280
176	425679
177	426001
178	426340
179	431315
180	431408
181	432099
182	432200
183	437387
184	437388
185	437530
186	440694
187	440769
188	443641
189	443783
190	443795
191	443828
192	443883
193	450876
194	453432
195	453576
196	453658
197	454218
198	455802
199	456561
200	458038
201	460556
202	463573
203	464784
204	466571
205	474424
206	474531
207	475647
208	475841
209	477865
210	478511
211	479167
212	479649
213	479724
214	480018
215	480104
216	484951
217	485309
218	485715
219	489256
220	490084
221	490111
222	490535
223	491281
224	493102
225	494301
226	496358
227	497256
228	499322
229	502518
230	504108
231	506429
232	507320
