id	start	stop	strand	pos_1	gene	orientation	total_reads
TSS_Yan_mini_1	147	147	+	147	b0001,b0002,b0003,b0004	NA	NA
TSS_Yan_mini_2	2580	2580	+	2580	b0002,b0003,b0004	NA	NA
TSS_Yan_mini_3	6481	6481	-	6481	b0006	NA	NA
TSS_Yan_mini_4	8190	8190	+	8190	b0008	NA	NA
TSS_Yan_mini_5	8190	8190	+	8190	b0008,b0009	NA	NA
TSS_Yan_mini_6	8229	8229	+	8229	b0008	NA	NA
TSS_Yan_mini_7	9276	9276	+	9276	b0009	NA	NA
TSS_Yan_mini_8	12047	12047	+	12047	b0014	NA	NA
TSS_Yan_mini_9	12047	12047	+	12047	b0014,b0015,b0016	NA	NA
TSS_Yan_mini_10	12122	12122	+	12122	b0014	NA	NA
TSS_Yan_mini_11	12122	12122	+	12122	b0014	NA	NA
TSS_Yan_mini_12	12122	12122	+	12122	b0014,b0015,b0016	NA	NA
TSS_Yan_mini_13	13112	13112	+	13112	b0014,b0015,b0016	NA	NA
TSS_Yan_mini_14	15444	15444	+	15444	b0016	NA	NA
TSS_Yan_mini_15	17453	17453	+	17453	b0019,b0020	NA	NA
TSS_Yan_mini_16	21117	21117	-	21117	b0023	NA	NA
TSS_Yan_mini_17	21117	21117	-	21117	b0023,b0022,b0021	NA	NA
TSS_Yan_mini_18	21207	21207	-	21207	b0023	NA	NA
TSS_Yan_mini_19	21207	21207	-	21207	b0023,b0022,b0021	NA	NA
TSS_Yan_mini_20	21382	21382	+	21382	b0024,b0025,b0026,b0027	NA	NA
TSS_Yan_mini_21	21555	21555	+	21555	b0025,b0026,b0027	NA	NA
TSS_Yan_mini_22	21834	21834	+	21834	b0025,b0026,b0027	NA	NA
TSS_Yan_mini_23	22228	22228	+	22228	b0025,b0026,b0027,b0028	NA	NA
TSS_Yan_mini_24	22368	22368	+	22368	b0026,b0027	NA	NA
TSS_Yan_mini_25	25013	25013	+	25013	b0026,b0027,b0028,b0029	NA	NA
TSS_Yan_mini_26	27263	27263	+	27263	b0030,b0031	NA	NA
TSS_Yan_mini_27	28287	28287	+	28287	b0031	NA	NA
TSS_Yan_mini_28	28287	28287	+	28287	b0031	NA	NA
TSS_Yan_mini_29	28342	28342	+	28342	b0031	NA	NA
TSS_Yan_mini_30	28342	28342	+	28342	b0031	NA	NA
TSS_Yan_mini_31	29550	29550	+	29550	b0032,b0033	NA	NA
TSS_Yan_mini_32	29620	29620	+	29620	b0032,b0033	NA	NA
TSS_Yan_mini_33	39939	39939	-	39939	b0039,b0038,b0037	NA	NA
TSS_Yan_mini_34	42324	42324	+	42324	b0041,b0042,b0043,b0044,b0045	NA	NA
TSS_Yan_mini_35	47214	47214	+	47214	b0046,b0047	NA	NA
TSS_Yan_mini_36	49798	49798	+	49798	b0048	NA	NA
TSS_Yan_mini_37	52587	52587	-	52587	b0052,b0051,b0050,b0049	NA	NA
TSS_Yan_mini_38	55210	55210	-	55210	b0054,b0053,b0052	NA	NA
TSS_Yan_mini_39	55358	55358	-	55358	b0054,b0053,b0052	NA	NA
TSS_Yan_mini_40	55358	55358	-	55358	b0054,b0053,b0052,b0051,b0050	NA	NA
TSS_Yan_mini_41	57156	57156	-	57156	b0054,b0053,b0052	NA	NA
TSS_Yan_mini_42	57241	57241	-	57241	b0054,b0053	NA	NA
TSS_Yan_mini_43	57258	57258	+	57258	b0055,b0056	NA	NA
TSS_Yan_mini_44	63356	63356	-	63356	b0059,b0058	NA	NA
TSS_Yan_mini_45	65803	65803	-	65803	b0060	NA	NA
TSS_Yan_mini_46	70220	70220	+	70220	b0064,b0065	NA	NA
TSS_Yan_mini_47	71270	71270	+	71270	b0065	NA	NA
TSS_Yan_mini_48	75608	75608	-	75608	b0068,b0067,b0066	NA	NA
TSS_Yan_mini_49	77339	77339	-	77339	b0069,b0068	NA	NA
TSS_Yan_mini_50	83581	83581	-	83581	b0074,b0073,b0072	NA	NA
TSS_Yan_mini_51	83735	83735	-	83735	b0075	NA	NA
TSS_Yan_mini_52	83735	83735	-	83735	b0075,b0074,b0073,b0072,b0071	NA	NA
TSS_Yan_mini_53	85598	85598	+	85598	b0077,b0078,b0079,b0080	NA	NA
TSS_Yan_mini_54	87968	87968	+	87968	b0080	NA	NA
TSS_Yan_mini_55	89589	89589	+	89589	b0081,b0082,b0083,b0084	NA	NA
TSS_Yan_mini_56	102532	102532	+	102532	b0092,b0093,b0094	NA	NA
TSS_Yan_mini_57	103560	103560	+	103560	b0093,b0094,b0095,b0096	NA	NA
TSS_Yan_mini_58	104635	104635	+	104635	b0094,b0095,b0096	NA	NA
TSS_Yan_mini_59	104692	104692	+	104692	b0094,b0095,b0096,b0097	NA	NA
TSS_Yan_mini_60	106507	106507	+	106507	b0096	NA	NA
TSS_Yan_mini_61	106507	106507	+	106507	b0096,b0097,b0098	NA	NA
TSS_Yan_mini_62	106529	106529	+	106529	b0096,b0097,b0098	NA	NA
TSS_Yan_mini_63	107667	107667	+	107667	b0097,b0098	NA	NA
TSS_Yan_mini_64	113322	113322	-	113322	b0103,b0102,b0101,b0100	NA	NA
TSS_Yan_mini_65	113395	113395	+	113395	b0104	NA	NA
TSS_Yan_mini_66	113395	113395	+	113395	b0104	NA	NA
TSS_Yan_mini_67	118679	118679	-	118679	b0109	NA	NA
TSS_Yan_mini_68	118679	118679	-	118679	b0109,b0108	NA	NA
TSS_Yan_mini_69	118701	118701	+	118701	b0110,b0111	NA	NA
TSS_Yan_mini_70	121647	121647	-	121647	b0112	NA	NA
TSS_Yan_mini_71	121676	121676	-	121676	b0112	NA	NA
TSS_Yan_mini_72	121676	121676	-	121676	b0112	NA	NA
TSS_Yan_mini_73	122033	122033	+	122033	b0113,b0114	NA	NA
TSS_Yan_mini_74	127716	127716	+	127716	b0116	NA	NA
