id	start	stop	strand	pos_1	gene	orientation	total_reads
TSS_Ju_stationary_1	147	147	+	147	NA	NA	NA
TSS_Ju_stationary_2	301	301	+	301	NA	NA	NA
TSS_Ju_stationary_3	2580	2580	+	2580	NA	NA	NA
TSS_Ju_stationary_4	3749	3749	+	3749	NA	NA	NA
TSS_Ju_stationary_5	4208	4208	+	4208	NA	NA	NA
TSS_Ju_stationary_6	6332	6332	+	6332	NA	NA	NA
TSS_Ju_stationary_7	6481	6481	-	6481	NA	NA	NA
TSS_Ju_stationary_8	7239	7239	-	7239	NA	NA	NA
TSS_Ju_stationary_9	8016	8016	-	8016	NA	NA	NA
TSS_Ju_stationary_10	8053	8053	-	8053	NA	NA	NA
TSS_Ju_stationary_11	8190	8190	+	8190	NA	NA	NA
TSS_Ju_stationary_12	9276	9276	+	9276	NA	NA	NA
TSS_Ju_stationary_13	10375	10375	-	10375	NA	NA	NA
TSS_Ju_stationary_14	10476	10476	-	10476	NA	NA	NA
TSS_Ju_stationary_15	11254	11254	-	11254	NA	NA	NA
TSS_Ju_stationary_16	12047	12047	+	12047	NA	NA	NA
TSS_Ju_stationary_17	14533	14533	+	14533	NA	NA	NA
TSS_Ju_stationary_18	17053	17053	-	17053	NA	NA	NA
TSS_Ju_stationary_19	17309	17309	+	17309	NA	NA	NA
TSS_Ju_stationary_20	17425	17425	+	17425	NA	NA	NA
TSS_Ju_stationary_21	17453	17453	+	17453	NA	NA	NA
TSS_Ju_stationary_22	17980	17980	+	17980	NA	NA	NA
TSS_Ju_stationary_23	18021	18021	+	18021	NA	NA	NA
TSS_Ju_stationary_24	20524	20524	-	20524	NA	NA	NA
TSS_Ju_stationary_25	21006	21006	+	21006	NA	NA	NA
TSS_Ju_stationary_26	21207	21207	-	21207	NA	NA	NA
TSS_Ju_stationary_27	21382	21382	+	21382	NA	NA	NA
TSS_Ju_stationary_28	21833	21833	+	21833	NA	NA	NA
TSS_Ju_stationary_29	25013	25013	+	25013	NA	NA	NA
TSS_Ju_stationary_30	26449	26449	+	26449	NA	NA	NA
TSS_Ju_stationary_31	27262	27262	+	27262	NA	NA	NA
TSS_Ju_stationary_32	28286	28286	+	28286	NA	NA	NA
TSS_Ju_stationary_33	28342	28342	+	28342	NA	NA	NA
TSS_Ju_stationary_34	32608	32608	-	32608	NA	NA	NA
TSS_Ju_stationary_35	34193	34193	+	34193	NA	NA	NA
TSS_Ju_stationary_36	34235	34235	+	34235	NA	NA	NA
TSS_Ju_stationary_37	39939	39939	-	39939	NA	NA	NA
TSS_Ju_stationary_38	40368	40368	-	40368	NA	NA	NA
TSS_Ju_stationary_39	47214	47214	+	47214	NA	NA	NA
TSS_Ju_stationary_40	49786	49786	+	49786	NA	NA	NA
TSS_Ju_stationary_41	49798	49798	+	49798	NA	NA	NA
TSS_Ju_stationary_42	52034	52034	-	52034	NA	NA	NA
TSS_Ju_stationary_43	52587	52587	-	52587	NA	NA	NA
TSS_Ju_stationary_44	53089	53089	-	53089	NA	NA	NA
TSS_Ju_stationary_45	55358	55358	-	55358	NA	NA	NA
TSS_Ju_stationary_46	57201	57201	+	57201	NA	NA	NA
TSS_Ju_stationary_47	57253	57253	-	57253	NA	NA	NA
TSS_Ju_stationary_48	57258	57258	+	57258	NA	NA	NA
TSS_Ju_stationary_49	58772	58772	+	58772	NA	NA	NA
TSS_Ju_stationary_50	58932	58932	+	58932	NA	NA	NA
TSS_Ju_stationary_51	59498	59498	+	59498	NA	NA	NA
TSS_Ju_stationary_52	60595	60595	-	60595	NA	NA	NA
TSS_Ju_stationary_53	63450	63450	-	63450	NA	NA	NA
TSS_Ju_stationary_54	63588	63588	-	63588	NA	NA	NA
TSS_Ju_stationary_55	65803	65803	-	65803	NA	NA	NA
TSS_Ju_stationary_56	67777	67777	-	67777	NA	NA	NA
TSS_Ju_stationary_57	70077	70077	-	70077	NA	NA	NA
TSS_Ju_stationary_58	70112	70112	+	70112	NA	NA	NA
TSS_Ju_stationary_59	70137	70137	+	70137	NA	NA	NA
TSS_Ju_stationary_60	70220	70220	+	70220	NA	NA	NA
TSS_Ju_stationary_61	75608	75608	-	75608	NA	NA	NA
TSS_Ju_stationary_62	77339	77339	-	77339	NA	NA	NA
TSS_Ju_stationary_63	77366	77366	+	77366	NA	NA	NA
TSS_Ju_stationary_64	77403	77403	-	77403	NA	NA	NA
TSS_Ju_stationary_65	77914	77914	+	77914	NA	NA	NA
TSS_Ju_stationary_66	78330	78330	+	78330	NA	NA	NA
TSS_Ju_stationary_67	79156	79156	-	79156	NA	NA	NA
TSS_Ju_stationary_68	79676	79676	-	79676	NA	NA	NA
TSS_Ju_stationary_69	83735	83735	-	83735	NA	NA	NA
TSS_Ju_stationary_70	84303	84303	+	84303	NA	NA	NA
TSS_Ju_stationary_71	85598	85598	+	85598	NA	NA	NA
TSS_Ju_stationary_72	85755	85755	+	85755	NA	NA	NA
TSS_Ju_stationary_73	87968	87968	+	87968	NA	NA	NA
TSS_Ju_stationary_74	89588	89588	+	89588	NA	NA	NA
TSS_Ju_stationary_75	92933	92933	-	92933	NA	NA	NA
TSS_Ju_stationary_76	97672	97672	+	97672	NA	NA	NA
TSS_Ju_stationary_77	99861	99861	+	99861	NA	NA	NA
TSS_Ju_stationary_78	101946	101946	+	101946	NA	NA	NA
TSS_Ju_stationary_79	102170	102170	+	102170	NA	NA	NA
TSS_Ju_stationary_80	102744	102744	+	102744	NA	NA	NA
TSS_Ju_stationary_81	102871	102871	+	102871	NA	NA	NA
TSS_Ju_stationary_82	104635	104635	+	104635	NA	NA	NA
TSS_Ju_stationary_83	104692	104692	+	104692	NA	NA	NA
TSS_Ju_stationary_84	106507	106507	+	106507	NA	NA	NA
TSS_Ju_stationary_85	106529	106529	+	106529	NA	NA	NA
TSS_Ju_stationary_86	107667	107667	+	107667	NA	NA	NA
TSS_Ju_stationary_87	111828	111828	-	111828	NA	NA	NA
TSS_Ju_stationary_88	113322	113322	-	113322	NA	NA	NA
