id	start	stop	strand	length	term_type	gene_number	genes	pseudo	phantom
TU_Yan_30201986_Rich_1	2580	4869	+	2290	long	1	b0003	0	0
TU_Yan_30201986_Rich_2	4978	6481	-	1504	long	1	b0006	0	0
TU_Yan_30201986_Rich_3	5455	6481	-	1027	TTS	1	b0006	0	0
TU_Yan_30201986_Rich_4	8190	9230	+	1041	TTS	1	b0008	0	0
TU_Yan_30201986_Rich_5	8190	10499	+	2310	long	2	b0008,b0009	0	0
TU_Yan_30201986_Rich_6	9276	10824	+	1549	long	1	b0009	0	0
TU_Yan_30201986_Rich_7	12047	14145	+	2099	TTS	1	b0014	0	0
TU_Yan_30201986_Rich_8	12047	16364	+	4318	long	3	b0014,ECK120002604,b0015	0	0
TU_Yan_30201986_Rich_10	12122	14160	+	2039	TTS	1	b0014	0	0
TU_Yan_30201986_Rich_11	12122	16614	+	4493	long	4	b0014,ECK120002604,b0015,b0016	0	0
TU_Yan_30201986_Rich_9	12122	14145	+	2024	TTS	1	b0014	0	0
TU_Yan_30201986_Rich_12	15444	16692	+	1249	long	1	b0016	0	0
TU_Yan_30201986_Rich_13	17453	18695	+	1243	TTS	1	b0019	0	0
TU_Yan_30201986_Rich_14	17453	20084	+	2632	long	2	b0019,b0020	0	0
TU_Yan_30201986_Rich_15	20566	21117	-	552	long	1	b0023	0	0
TU_Yan_30201986_Rich_16	20621	21207	-	587	long	1	b0023	0	0
TU_Yan_30201986_Rich_17	20763	21117	-	355	TTS	1	b0023	0	0
TU_Yan_30201986_Rich_18	20763	21207	-	445	TTS	1	b0023	0	0
TU_Yan_30201986_Rich_19	21382	25699	+	4318	long	2	b0025,b0026	0	0
TU_Yan_30201986_Rich_20	21834	25795	+	3962	long	2	b0026,b0027	0	0
TU_Yan_30201986_Rich_21	22368	26777	+	4410	long	3	b0026,b0027,b0028	0	0
TU_Yan_30201986_Rich_22	27263	28257	+	995	TTS	1	b0030	0	0
TU_Yan_30201986_Rich_23	27263	29491	+	2229	long	3	b0030,b0031,ECK125203390	0	0
TU_Yan_30201986_Rich_24	28287	29549	+	1263	long	2	b0031,ECK125203390	0	0
TU_Yan_30201986_Rich_25	29550	33914	+	4365	long	1	b0032	0	0
TU_Yan_30201986_Rich_26	29620	33675	+	4056	long	1	b0032	0	0
TU_Yan_30201986_Rich_27	36192	39939	-	3748	long	2	b0038,b0037	0	0
TU_Yan_30201986_Rich_28	36193	39507	-	3315	long	2	b0038,b0037	0	0
TU_Yan_30201986_Rich_29	42324	45662	+	3339	long	3	b0041,b0042,b0043	0	0
TU_Yan_30201986_Rich_30	47214	50533	+	3320	long	3	b0046,b0047,b0048	0	0
TU_Yan_30201986_Rich_31	49798	50934	+	1137	long	1	b0048	0	0
TU_Yan_30201986_Rich_32	50107	52587	-	2481	long	3	b0051,b0050,b0049	0	0
TU_Yan_30201986_Rich_33	51268	55306	-	4039	long	3	b0053,b0052,b0051	0	0
TU_Yan_30201986_Rich_34	51325	55358	-	4034	long	3	b0053,b0052,b0051	0	0
TU_Yan_30201986_Rich_35	53026	57156	-	4131	long	2	b0054,b0053	0	0
TU_Yan_30201986_Rich_36	53258	57241	-	3984	long	2	b0054,b0053	0	0
TU_Yan_30201986_Rich_37	57258	59944	+	2687	long	3	b0055,b0056,b0057	0	0
TU_Yan_30201986_Rich_38	59610	63356	-	3747	long	2	b0059,b0058	0	0
TU_Yan_30201986_Rich_39	63300	65803	-	2504	long	1	b0060	0	0
TU_Yan_30201986_Rich_40	66493	70077	-	3585	long	2	b0063,b0062	0	0
TU_Yan_30201986_Rich_41	71921	75608	-	3688	long	4	b4762,b0068,b0067,b0066	0	0
TU_Yan_30201986_Rich_42	73773	77403	-	3631	long	3	b0069,b4762,b0068	0	0
TU_Yan_30201986_Rich_43	74158	77339	-	3182	long	3	b0069,b4762,b0068	0	0
TU_Yan_30201986_Rich_44	77566	79004	+	1439	long	1	b0070	0	0
TU_Yan_30201986_Rich_45	85598	88613	+	3016	long	3	b0077,b0078,b0079	0	0
TU_Yan_30201986_Rich_46	87968	89082	+	1115	TTS	1	b0080	0	0
TU_Yan_30201986_Rich_47	87968	91463	+	3496	long	4	b0080,b0081,b0082,b0083	0	0
TU_Yan_30201986_Rich_48	89588	91655	+	2068	long	3	b0081,b0082,b0083	0	0
TU_Yan_30201986_Rich_49	102532	104891	+	2360	long	1	b0093	0	0
TU_Yan_30201986_Rich_50	102742	106431	+	3690	long	2	b0093,b0094	0	0
TU_Yan_30201986_Rich_51	104635	108221	+	3587	long	3	b0095,b0096,b0097	0	0
TU_Yan_30201986_Rich_52	106507	107551	+	1045	TTS	1	b0096	0	0
TU_Yan_30201986_Rich_53	106507	110330	+	3824	long	2	b0096,b0097	0	0
TU_Yan_30201986_Rich_54	106529	109900	+	3372	long	2	b0096,b0097	0	0
TU_Yan_30201986_Rich_55	107667	111029	+	3363	long	2	b0097,b0098	0	0
TU_Yan_30201986_Rich_56	111207	113322	-	2116	long	4	b0103,b0102,b0101,b0100	0	0
TU_Yan_30201986_Rich_57	113395	114526	+	1132	TTS	1	b0104	0	0
TU_Yan_30201986_Rich_58	113395	114527	+	1133	long	1	b0104	0	0
TU_Yan_30201986_Rich_59	117586	118679	-	1094	long	1	b0109	0	0
TU_Yan_30201986_Rich_60	122024	123309	+	1286	long	1	b0113	0	0
TU_Yan_30201986_Rich_61	122033	122940	+	908	TTS	1	b0113	0	0
TU_Yan_30201986_Rich_62	122033	123393	+	1361	long	1	b0113	0	0
TU_Yan_30201986_Rich_63	127636	129397	+	1762	long	1	b0116	0	0
TU_Yan_30201986_Rich_64	127717	129397	+	1681	TTS	1	b0116	0	0
TU_Yan_30201986_Rich_65	127717	129398	+	1682	long	1	b0116	0	0
TU_Yan_30201986_Rich_66	131518	134279	+	2762	TTS	1	b0118	0	0
TU_Yan_30201986_Rich_67	131518	134953	+	3436	long	2	b0118,b0119	0	0
TU_Yan_30201986_Rich_68	134338	136484	+	2147	long	1	b0119	0	0
TU_Yan_30201986_Rich_69	134558	136500	-	1943	long	2	b0121,b0120	0	0
TU_Yan_30201986_Rich_70	134558	136550	-	1993	long	2	b0121,b0120	0	0
TU_Yan_30201986_Rich_71	137042	138675	+	1634	TTS	1	b0123	0	0
TU_Yan_30201986_Rich_72	137042	138799	+	1758	long	1	b0123	0	0
TU_Yan_30201986_Rich_73	141360	142003	+	644	TTS	1	b0125	0	0
TU_Yan_30201986_Rich_74	141360	144512	+	3153	TTS	3	b0125,b0127,b0128	0	0
TU_Yan_30201986_Rich_75	141360	145077	+	3718	long	4	b0125,b0127,b0128,b0129	0	0
TU_Yan_30201986_Rich_76	141844	142703	-	860	long	1	b0126	0	0
TU_Yan_30201986_Rich_77	141972	142703	-	732	TTS	1	b0126	0	0
TU_Yan_30201986_Rich_78	142668	144964	+	2297	long	2	b0127,b0128	0	0
TU_Yan_30201986_Rich_79	145730	146754	-	1025	long	1	b0131	0	0
TU_Yan_30201986_Rich_80	146276	146754	-	479	TTS	1	b0131	0	0
TU_Yan_30201986_Rich_81	147680	149630	-	1951	long	2	b0134,b0133	0	0
TU_Yan_30201986_Rich_82	147729	148854	-	1126	long	1	b0133	0	0
TU_Yan_30201986_Rich_83	147906	148854	-	949	TTS	1	b0133	0	0
TU_Yan_30201986_Rich_84	147906	149630	-	1725	TTS	2	b0134,b0133	0	0
TU_Yan_30201986_Rich_85	157132	159170	-	2039	long	2	b0143,b0142	0	0
TU_Yan_30201986_Rich_86	157341	160656	-	3316	long	3	b0145,b0144,b0143	0	0
TU_Yan_30201986_Rich_87	159024	161078	-	2055	long	2	b0145,b0144	0	0
TU_Yan_30201986_Rich_88	159963	161142	-	1180	long	1	b0145	0	0
TU_Yan_30201986_Rich_89	160094	162053	-	1960	long	3	b0147,b0146,b0145	0	0
TU_Yan_30201986_Rich_90	160096	160656	-	561	TTS	1	b0145	0	0
TU_Yan_30201986_Rich_91	160096	161078	-	983	TTS	1	b0145	0	0
TU_Yan_30201986_Rich_92	162076	165677	+	3602	long	1	b0148	0	0
TU_Yan_30201986_Rich_93	164234	166378	+	2145	long	0		0	0
TU_Yan_30201986_Rich_94	164699	168115	+	3417	long	1	b0149	0	0
TU_Yan_30201986_Rich_95	167427	169763	+	2337	TTS	1	b0150	0	0
TU_Yan_30201986_Rich_96	167427	171825	+	4399	long	3	b0150,b0151,b0152	0	0
TU_Yan_30201986_Rich_97	169214	172345	+	3132	long	2	b0151,b0152	0	0
TU_Yan_30201986_Rich_98	173014	174992	-	1979	long	1	b0154	0	0
TU_Yan_30201986_Rich_99	173274	174913	-	1640	long	1	b0154	0	0
TU_Yan_30201986_Rich_100	174932	177019	+	2088	long	4	b4765,b0155,b4728,b0156	0	0
TU_Yan_30201986_Rich_101	175073	176994	+	1922	TTS	3	b0155,b4728,b0156	0	0
TU_Yan_30201986_Rich_102	175073	177624	+	2552	long	3	b0155,b4728,b0156	0	0
TU_Yan_30201986_Rich_103	176560	176997	+	438	long	1	b0156	0	0
TU_Yan_30201986_Rich_104	176672	179181	-	2510	long	3	b0159,b0158,b0157	0	0
TU_Yan_30201986_Rich_105	178422	179181	-	760	TTS	1	b0159	0	0
TU_Yan_30201986_Rich_106	180843	182457	+	1615	long	1	b0161	0	0
TU_Yan_30201986_Rich_107	183625	185978	-	2354	long	4	b0166,b0165,b0164,b0163	0	0
TU_Yan_30201986_Rich_108	185018	188783	-	3766	long	2	b0167,b0166	0	0
TU_Yan_30201986_Rich_109	185086	185978	-	893	TTS	1	b0166	0	0
TU_Yan_30201986_Rich_110	185652	189553	-	3902	long	2	b0168,b0167	0	0
TU_Yan_30201986_Rich_111	188683	189553	-	871	TTS	1	b0168	0	0
TU_Yan_30201986_Rich_112	189712	190800	+	1089	TTS	2	b4414,b0169	0	0
TU_Yan_30201986_Rich_113	189712	191745	+	2034	TTS	3	b4414,b0169,b0170	0	0
TU_Yan_30201986_Rich_114	189712	194038	+	4327	long	5	b4414,b0169,b0170,b0171,b0172	0	0
TU_Yan_30201986_Rich_115	189779	191748	+	1970	long	2	b0169,b0170	0	0
TU_Yan_30201986_Rich_116	189839	193490	+	3652	long	4	b0169,b0170,b0171,b0172	0	0
TU_Yan_30201986_Rich_117	190440	192546	+	2107	long	1	b0170	0	0
TU_Yan_30201986_Rich_118	190705	193490	+	2786	long	3	b0170,b0171,b0172	0	0
TU_Yan_30201986_Rich_119	190794	195037	+	4244	long	4	b0170,b0171,b0172,b0173	0	0
TU_Yan_30201986_Rich_120	191734	194780	+	3047	long	3	b0171,b0172,b0173	0	0
TU_Yan_30201986_Rich_121	191811	195499	+	3689	long	3	b0171,b0172,b0173	0	0
TU_Yan_30201986_Rich_122	192616	193490	+	875	TTS	1	b0172	0	0
TU_Yan_30201986_Rich_123	192616	197004	+	4389	long	4	b0172,b0173,b0174,b0175	0	0
TU_Yan_30201986_Rich_124	192813	196318	+	3506	long	3	b0172,b0173,b0174	0	0
TU_Yan_30201986_Rich_125	194783	198356	+	3574	long	3	b0174,b0175,b0176	0	0
