id	start	stop	strand	length	term_type	gene_number	genes	pseudo	phantom
TU_Yan_30201986_M9_1	147	3970	+	3824	long	3	b0001,b0002,b0003	0	0
TU_Yan_30201986_M9_2	2580	5076	+	2497	long	2	b0003,b0004	0	0
TU_Yan_30201986_M9_3	5108	6481	-	1374	long	1	b0006	0	0
TU_Yan_30201986_M9_4	8190	9230	+	1041	TTS	1	b0008	0	0
TU_Yan_30201986_M9_5	8190	9721	+	1532	long	1	b0008	0	0
TU_Yan_30201986_M9_6	8229	9230	+	1002	long	1	b0008	0	0
TU_Yan_30201986_M9_7	9276	10590	+	1315	long	1	b0009	0	0
TU_Yan_30201986_M9_8	12047	14145	+	2099	TTS	1	b0014	0	0
TU_Yan_30201986_M9_9	12047	16393	+	4347	long	3	b0014,ECK120002604,b0015	0	0
TU_Yan_30201986_M9_10	12122	14145	+	2024	TTS	1	b0014	0	0
TU_Yan_30201986_M9_11	12122	14160	+	2039	TTS	1	b0014	0	0
TU_Yan_30201986_M9_12	12122	16561	+	4440	long	4	b0014,ECK120002604,b0015,b0016	0	0
TU_Yan_30201986_M9_13	13112	16563	+	3452	long	3	ECK120002604,b0015,b0016	0	0
TU_Yan_30201986_M9_14	15444	16636	+	1193	long	1	b0016	0	0
TU_Yan_30201986_M9_15	17453	19698	+	2246	long	2	b0019,b0020	0	0
TU_Yan_30201986_M9_16	20137	21117	-	981	long	2	b0023,b0022	0	0
TU_Yan_30201986_M9_17	20190	21207	-	1018	long	2	b0023,b0022	0	0
TU_Yan_30201986_M9_18	20763	21117	-	355	TTS	1	b0023	0	0
TU_Yan_30201986_M9_19	20763	21207	-	445	TTS	1	b0023	0	0
TU_Yan_30201986_M9_20	21382	25536	+	4155	long	2	b0025,b0026	0	0
TU_Yan_30201986_M9_21	21555	25795	+	4241	long	2	b0026,b0027	0	0
TU_Yan_30201986_M9_22	21834	25795	+	3962	long	2	b0026,b0027	0	0
TU_Yan_30201986_M9_23	22228	26210	+	3983	long	2	b0026,b0027	0	0
TU_Yan_30201986_M9_24	22368	25426	+	3059	long	1	b0026	0	0
TU_Yan_30201986_M9_25	25013	27281	+	2269	long	3	b0027,b0028,b0029	0	0
TU_Yan_30201986_M9_26	27263	29277	+	2015	long	3	b0030,b0031,ECK125203390	0	0
TU_Yan_30201986_M9_27	28287	29276	+	990	TTS	2	b0031,ECK125203390	0	0
TU_Yan_30201986_M9_28	28287	29377	+	1091	long	2	b0031,ECK125203390	0	0
TU_Yan_30201986_M9_29	28342	29276	+	935	TTS	2	b0031,ECK125203390	0	0
TU_Yan_30201986_M9_30	28342	29649	+	1308	long	2	b0031,ECK125203390	0	0
TU_Yan_30201986_M9_31	29550	34109	+	4560	long	2	b0032,b0033	0	0
TU_Yan_30201986_M9_32	29620	34118	+	4499	long	2	b0032,b0033	0	0
TU_Yan_30201986_M9_33	36587	39939	-	3353	long	1	b0038	0	0
TU_Yan_30201986_M9_34	42324	46352	+	4029	long	4	b0041,b0042,b0043,b0044	0	0
TU_Yan_30201986_M9_35	47214	49727	+	2514	long	2	b0046,b0047	0	0
TU_Yan_30201986_M9_36	49798	50615	+	818	long	1	b0048	0	0
TU_Yan_30201986_M9_37	50122	52587	-	2466	long	3	b0051,b0050,b0049	0	0
TU_Yan_30201986_M9_38	51291	55358	-	4068	long	3	b0053,b0052,b0051	0	0
TU_Yan_30201986_M9_39	53116	57156	-	4041	long	2	b0054,b0053	0	0
