id	start	stop	strand
TTS_Yan_30201986_M9_1	9230	9230	+
TTS_Yan_30201986_M9_2	14145	14145	+
TTS_Yan_30201986_M9_3	14160	14160	+
TTS_Yan_30201986_M9_4	21117	21117	-
TTS_Yan_30201986_M9_5	21207	21207	-
TTS_Yan_30201986_M9_6	29276	29276	+
TTS_Yan_30201986_M9_7	55358	55358	-
TTS_Yan_30201986_M9_8	83735	83735	-
TTS_Yan_30201986_M9_9	107551	107551	+
TTS_Yan_30201986_M9_10	114526	114526	+
TTS_Yan_30201986_M9_11	118679	118679	-
TTS_Yan_30201986_M9_12	121676	121676	-
TTS_Yan_30201986_M9_13	129397	129397	+
TTS_Yan_30201986_M9_14	142703	142703	-
TTS_Yan_30201986_M9_15	146754	146754	-
TTS_Yan_30201986_M9_16	148854	148854	-
TTS_Yan_30201986_M9_17	160656	160656	-
TTS_Yan_30201986_M9_18	161058	161058	-
TTS_Yan_30201986_M9_19	176995	176995	+
TTS_Yan_30201986_M9_20	179181	179181	-
TTS_Yan_30201986_M9_21	182347	182347	+
TTS_Yan_30201986_M9_22	185976	185976	-
TTS_Yan_30201986_M9_23	189553	189553	-
TTS_Yan_30201986_M9_24	190800	190800	+
TTS_Yan_30201986_M9_25	191745	191745	+
TTS_Yan_30201986_M9_26	193491	193491	+
TTS_Yan_30201986_M9_27	202062	202062	+
TTS_Yan_30201986_M9_28	203408	203408	+
TTS_Yan_30201986_M9_29	218837	218837	-
TTS_Yan_30201986_M9_30	221008	221008	-
TTS_Yan_30201986_M9_31	223655	223655	+
TTS_Yan_30201986_M9_32	245884	245884	-
TTS_Yan_30201986_M9_33	255807	255807	-
TTS_Yan_30201986_M9_34	290340	290340	-
TTS_Yan_30201986_M9_35	303649	303649	+
TTS_Yan_30201986_M9_36	389753	389753	-
TTS_Yan_30201986_M9_37	400951	400951	-
TTS_Yan_30201986_M9_38	410049	410049	-
TTS_Yan_30201986_M9_39	422409	422409	+
TTS_Yan_30201986_M9_40	427788	427788	+
TTS_Yan_30201986_M9_41	445326	445326	+
TTS_Yan_30201986_M9_42	456495	456495	+
TTS_Yan_30201986_M9_43	456496	456496	+
TTS_Yan_30201986_M9_44	458758	458758	+
TTS_Yan_30201986_M9_45	458759	458759	+
TTS_Yan_30201986_M9_46	461784	461784	+
TTS_Yan_30201986_M9_47	463858	463858	+
TTS_Yan_30201986_M9_48	465572	465572	-
TTS_Yan_30201986_M9_49	497033	497033	+
TTS_Yan_30201986_M9_50	497938	497938	+
TTS_Yan_30201986_M9_51	533861	533861	+
TTS_Yan_30201986_M9_52	554490	554490	-
TTS_Yan_30201986_M9_53	556036	556036	+
