id	start	stop	strand
TTS_Yan_30201986_Rich_1	6481	6481	-
TTS_Yan_30201986_Rich_2	9230	9230	+
TTS_Yan_30201986_Rich_3	14145	14145	+
TTS_Yan_30201986_Rich_4	14160	14160	+
TTS_Yan_30201986_Rich_5	18695	18695	+
TTS_Yan_30201986_Rich_6	21117	21117	-
TTS_Yan_30201986_Rich_7	21207	21207	-
TTS_Yan_30201986_Rich_8	28257	28257	+
TTS_Yan_30201986_Rich_9	89082	89082	+
TTS_Yan_30201986_Rich_10	107551	107551	+
TTS_Yan_30201986_Rich_11	114526	114526	+
TTS_Yan_30201986_Rich_12	122940	122940	+
TTS_Yan_30201986_Rich_13	129397	129397	+
TTS_Yan_30201986_Rich_14	134279	134279	+
TTS_Yan_30201986_Rich_15	138675	138675	+
TTS_Yan_30201986_Rich_16	142003	142003	+
TTS_Yan_30201986_Rich_17	142703	142703	-
TTS_Yan_30201986_Rich_18	144512	144512	+
TTS_Yan_30201986_Rich_19	146754	146754	-
TTS_Yan_30201986_Rich_20	148854	148854	-
TTS_Yan_30201986_Rich_21	149630	149630	-
TTS_Yan_30201986_Rich_22	160656	160656	-
TTS_Yan_30201986_Rich_23	161078	161078	-
TTS_Yan_30201986_Rich_24	169763	169763	+
TTS_Yan_30201986_Rich_25	176994	176994	+
TTS_Yan_30201986_Rich_26	179181	179181	-
TTS_Yan_30201986_Rich_27	185978	185978	-
TTS_Yan_30201986_Rich_28	189553	189553	-
TTS_Yan_30201986_Rich_29	190800	190800	+
TTS_Yan_30201986_Rich_30	191745	191745	+
TTS_Yan_30201986_Rich_31	193490	193490	+
TTS_Yan_30201986_Rich_32	202062	202062	+
TTS_Yan_30201986_Rich_33	203408	203408	+
TTS_Yan_30201986_Rich_34	218837	218837	-
TTS_Yan_30201986_Rich_35	255807	255807	-
TTS_Yan_30201986_Rich_36	256470	256470	+
TTS_Yan_30201986_Rich_37	262822	262822	+
TTS_Yan_30201986_Rich_38	324602	324602	+
TTS_Yan_30201986_Rich_39	389753	389753	-
TTS_Yan_30201986_Rich_40	400951	400951	-
TTS_Yan_30201986_Rich_41	410049	410049	-
TTS_Yan_30201986_Rich_42	432090	432090	-
TTS_Yan_30201986_Rich_43	445326	445326	+
TTS_Yan_30201986_Rich_44	454209	454209	-
TTS_Yan_30201986_Rich_45	456496	456496	+
TTS_Yan_30201986_Rich_46	458758	458758	+
TTS_Yan_30201986_Rich_47	461310	461310	+
TTS_Yan_30201986_Rich_48	461784	461784	+
TTS_Yan_30201986_Rich_49	463858	463858	+
TTS_Yan_30201986_Rich_50	465572	465572	-
TTS_Yan_30201986_Rich_51	492043	492043	+
TTS_Yan_30201986_Rich_52	497033	497033	+
TTS_Yan_30201986_Rich_53	497938	497938	+
TTS_Yan_30201986_Rich_54	554490	554490	-
TTS_Yan_30201986_Rich_55	556036	556036	+
TTS_Yan_30201986_Rich_56	557781	557781	-
TTS_Yan_30201986_Rich_57	585664	585664	-
TTS_Yan_30201986_Rich_58	605453	605453	-
TTS_Yan_30201986_Rich_59	639669	639669	+
TTS_Yan_30201986_Rich_60	660301	660301	-
TTS_Yan_30201986_Rich_61	664001	664001	-
TTS_Yan_30201986_Rich_62	674845	674845	-
TTS_Yan_30201986_Rich_63	684438	684438	-
TTS_Yan_30201986_Rich_64	691882	691882	-
TTS_Yan_30201986_Rich_65	696346	696346	+
TTS_Yan_30201986_Rich_66	699222	699222	-
TTS_Yan_30201986_Rich_67	700354	700354	-
TTS_Yan_30201986_Rich_68	705969	705969	+
TTS_Yan_30201986_Rich_69	707981	707981	+
TTS_Yan_30201986_Rich_70	711521	711521	-
TTS_Yan_30201986_Rich_71	758485	758485	+
TTS_Yan_30201986_Rich_72	758531	758531	+
TTS_Yan_30201986_Rich_73	774374	774374	+
TTS_Yan_30201986_Rich_74	774649	774649	+
TTS_Yan_30201986_Rich_75	786824	786824	+
TTS_Yan_30201986_Rich_76	787670	787670	-
TTS_Yan_30201986_Rich_77	807323	807323	-
TTS_Yan_30201986_Rich_78	820631	820631	+
TTS_Yan_30201986_Rich_79	837468	837468	+
TTS_Yan_30201986_Rich_80	841664	841664	-
TTS_Yan_30201986_Rich_81	851011	851011	+
TTS_Yan_30201986_Rich_82	855798	855798	-
TTS_Yan_30201986_Rich_83	857716	857716	+
TTS_Yan_30201986_Rich_84	866394	866394	-
TTS_Yan_30201986_Rich_85	893480	893480	+
TTS_Yan_30201986_Rich_86	925599	925599	+
TTS_Yan_30201986_Rich_87	932078	932078	-
TTS_Yan_30201986_Rich_88	956657	956657	-
TTS_Yan_30201986_Rich_89	963777	963777	+
TTS_Yan_30201986_Rich_90	971644	971644	+
TTS_Yan_30201986_Rich_91	987092	987092	-
TTS_Yan_30201986_Rich_92	989038	989038	-
TTS_Yan_30201986_Rich_93	993273	993273	+
TTS_Yan_30201986_Rich_94	1016497	1016497	-
TTS_Yan_30201986_Rich_95	1024379	1024379	-
TTS_Yan_30201986_Rich_96	1026552	1026552	+
TTS_Yan_30201986_Rich_97	1029998	1029998	-
TTS_Yan_30201986_Rich_98	1031446	1031446	-
TTS_Yan_30201986_Rich_99	1117893	1117893	+
TTS_Yan_30201986_Rich_100	1145968	1145968	+
TTS_Yan_30201986_Rich_101	1146004	1146004	+
TTS_Yan_30201986_Rich_102	1147708	1147708	+
TTS_Yan_30201986_Rich_103	1151888	1151888	+
TTS_Yan_30201986_Rich_104	1153229	1153229	+
TTS_Yan_30201986_Rich_105	1159352	1159352	+
TTS_Yan_30201986_Rich_106	1165732	1165732	+
TTS_Yan_30201986_Rich_107	1174028	1174028	-
TTS_Yan_30201986_Rich_108	1193800	1193800	-
TTS_Yan_30201986_Rich_109	1196422	1196422	+
TTS_Yan_30201986_Rich_110	1233056	1233056	-
TTS_Yan_30201986_Rich_111	1234766	1234766	-
TTS_Yan_30201986_Rich_112	1240087	1240087	+
TTS_Yan_30201986_Rich_113	1240088	1240088	+
TTS_Yan_30201986_Rich_114	1243110	1243110	-
TTS_Yan_30201986_Rich_115	1257882	1257882	-
TTS_Yan_30201986_Rich_116	1258542	1258542	-
TTS_Yan_30201986_Rich_117	1262176	1262176	-
TTS_Yan_30201986_Rich_118	1271895	1271895	-
TTS_Yan_30201986_Rich_119	1279520	1279520	+
TTS_Yan_30201986_Rich_120	1292958	1292958	-
TTS_Yan_30201986_Rich_121	1298394	1298394	-
TTS_Yan_30201986_Rich_122	1298434	1298434	-
TTS_Yan_30201986_Rich_123	1313696	1313696	-
TTS_Yan_30201986_Rich_124	1314696	1314696	+
TTS_Yan_30201986_Rich_125	1327761	1327761	+
TTS_Yan_30201986_Rich_126	1330415	1330415	+
TTS_Yan_30201986_Rich_127	1333700	1333700	+
